"FUELCOST_MONTHLY","Please don't change this row, otherwise this file may not be valid anymore!"
"Fuel Name","Year","Fuel Scaler","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"DefaultFuel","0","1","9.99","9.99","9.99","9.99","9.99","9.99","9.99","9.99","9.99","9.99","9.99","9.99"
"Coal_Alberta","0","1","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055"
"Coal_AZ","0","1","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502"
"Coal_ID","0","1","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836"
"Coal_MT","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Coal_UT","0","1","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468","1.431468"
"Coal_NM","0","1","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496","1.752496"
"Coal_CO_East","0","1","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182"
"Coal_CA_South","0","1","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443","3.113443"
"Coal_CO_West","0","1","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355"
"Geothermal","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Oil_DistillateFuel_L","0","1","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019","12.20019"
"Petroleum Coke","0","1","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095","1.484095"
"Uranium","0","1",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564",".7375564"
"Purchased_Steam","0","1","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255","1.05255"
"Waste_Heat","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Synthetic Gas","0","1","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325","7.357325"
"Coal_WY_SW","0","1","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425","1.991425"
"Bio_Agri_Res","0","1",".568377",".568377",".568377",".568377",".568377",".568377",".568377",".568377",".568377",".568377",".568377",".568377"
"Bio_Blk_Liquor","0","1",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255",".0105255"
"Bio_Landfill_Gas","0","1","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763","2.378763"
"Bio_Other","0","1","3.052395","3.052395","3.052395","3.052395","3.052395","3.052395","3.052395","3.052395","3.052395","3.052395","3.052395","3.052395"
"Bio_Sludge_Waste","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Bio_Solid_Waste","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Bio_Wood","0","1","3.031344","3.031344","3.031344","3.031344","3.031344","3.031344","3.031344","3.031344","3.031344","3.031344","3.031344","3.031344"
"Propane","0","1","24.78755","24.78755","24.78755","24.78755","24.78755","24.78755","24.78755","24.78755","24.78755","24.78755","24.78755","24.78755"
"Oil_DistillateFuel_2","0","1","24.56652","24.56652","24.56652","24.56652","24.56652","24.56652","24.56652","24.56652","24.56652","24.56652","24.56652","24.56652"
"Refuse","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Coal_Craig","0","1","1.710394","1.710394","1.710394","1.710394","1.710394","1.710394","1.710394","1.710394","1.710394","1.710394","1.710394","1.710394"
"Coal_Battle_River","0","1","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055","1.323055"
"Coal_Jim_Bridger","0","1","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836","2.119836"
"Coal_Cholla","0","1","1.681975","1.681975","1.681975","1.681975","1.681975","1.681975","1.681975","1.681975","1.681975","1.681975","1.681975","1.681975"
"Coal_Valmy","0","1","2.246142","2.246142","2.246142","2.246142","2.246142","2.246142","2.246142","2.246142","2.246142","2.246142","2.246142","2.246142"
"Coal_Four_Corners","0","1","2.131414","2.131414","2.131414","2.131414","2.131414","2.131414","2.131414","2.131414","2.131414","2.131414","2.131414","2.131414"
"Coal_Escalante","0","1","1.74618","1.74618","1.74618","1.74618","1.74618","1.74618","1.74618","1.74618","1.74618","1.74618","1.74618","1.74618"
"Coal_Naughton","0","1","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502","1.672502"
"Coal_Intermountain","0","1","1.668292","1.668292","1.668292","1.668292","1.668292","1.668292","1.668292","1.668292","1.668292","1.668292","1.668292","1.668292"
"Coal_Apache","0","1","2.060893","2.060893","2.060893","2.060893","2.060893","2.060893","2.060893","2.060893","2.060893","2.060893","2.060893","2.060893"
"Coal_Hayden","0","1","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355","1.73355"
"Coal_Sunnyside","0","1","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306"
"Coal_Reid_Gardner","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Coal_Centennial_Hard","0","1","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918"
"Coal_Colstrip","0","1","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918","1.059918"
"Coal_Springerville","0","1","1.260955","1.260955","1.260955","1.260955","1.260955","1.260955","1.260955","1.260955","1.260955","1.260955","1.260955","1.260955"
"Coal_Martin_Drake","0","1","1.163068","1.163068","1.163068","1.163068","1.163068","1.163068","1.163068","1.163068","1.163068","1.163068","1.163068","1.163068"
"Coal_Wyodak","0","1",".8988777",".8988777",".8988777",".8988777",".8988777",".8988777",".8988777",".8988777",".8988777",".8988777",".8988777",".8988777"
"Coal_Centralia","0","1","2.011423","2.011423","2.011423","2.011423","2.011423","2.011423","2.011423","2.011423","2.011423","2.011423","2.011423","2.011423"
"Coal_Coronado","0","1","1.975636","1.975636","1.975636","1.975636","1.975636","1.975636","1.975636","1.975636","1.975636","1.975636","1.975636","1.975636"
"Coal_Comache","0","1","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182","1.045182"
"Coal_Bonanza","0","1","1.53146","1.53146","1.53146","1.53146","1.53146","1.53146","1.53146","1.53146","1.53146","1.53146","1.53146","1.53146"
"Coal_Hunter","0","1","1.348317","1.348317","1.348317","1.348317","1.348317","1.348317","1.348317","1.348317","1.348317","1.348317","1.348317","1.348317"
"Coal_Huntington","0","1","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306","1.488306"
"Coal_Pawnee","0","1",".9272966",".9272966",".9272966",".9272966",".9272966",".9272966",".9272966",".9272966",".9272966",".9272966",".9272966",".9272966"
"Coal_Rawhide","0","1","1.000975","1.000975","1.000975","1.000975","1.000975","1.000975","1.000975","1.000975","1.000975","1.000975","1.000975","1.000975"
"Coal_Nixon","0","1","1.167278","1.167278","1.167278","1.167278","1.167278","1.167278","1.167278","1.167278","1.167278","1.167278","1.167278","1.167278"
"Coal_Dave_Johnston","0","1",".7315223",".7315223",".7315223",".7315223",".7315223",".7315223",".7315223",".7315223",".7315223",".7315223",".7315223",".7315223"
"Coal_Dry_Fork","0","1",".5178546",".5178546",".5178546",".5178546",".5178546",".5178546",".5178546",".5178546",".5178546",".5178546",".5178546",".5178546"
"Coal_Laramie_River","0","1",".7967803",".7967803",".7967803",".7967803",".7967803",".7967803",".7967803",".7967803",".7967803",".7967803",".7967803",".7967803"
"Coal_Neil_Simpson","0","1",".6557387",".6557387",".6557387",".6557387",".6557387",".6557387",".6557387",".6557387",".6557387",".6557387",".6557387",".6557387"
"Coal_Wygen","0","1",".6536335",".6536335",".6536335",".6536335",".6536335",".6536335",".6536335",".6536335",".6536335",".6536335",".6536335",".6536335"
"Coal_San_Juan","0","1","1.407259","1.407259","1.407259","1.407259","1.407259","1.407259","1.407259","1.407259","1.407259","1.407259","1.407259","1.407259"
"Coal_Springervile1-2","0","1","1.314635","1.314635","1.314635","1.314635","1.314635","1.314635","1.314635","1.314635","1.314635","1.314635","1.314635","1.314635"
"Coal_Springervile3-4","0","1","1.707236","1.707236","1.707236","1.707236","1.707236","1.707236","1.707236","1.707236","1.707236","1.707236","1.707236","1.707236"
"Coal_Boardman","0","1","1.748286","1.748286","1.748286","1.748286","1.748286","1.748286","1.748286","1.748286","1.748286","1.748286","1.748286","1.748286"
"NG_Alberta_NOVA","0","1","4.176492","3.957972","3.799497","3.484807","3.330246","3.302031","3.408786","3.448044","3.411899","3.528013","3.667069","4.0348"
"NG_AZ_North","0","1","3.981891","3.561557","3.514991","3.3281","3.314524","3.34344","3.565301","3.473495","3.456262","3.428275","3.476358","3.925622"
"NG_New Mexico_North","0","1","3.796678","3.471007","3.42819","3.224728","3.1736","3.202945","3.454379","3.361348","3.271256","3.309852","3.38244","3.733991"
"NG_AZ/Cal_Blythe","0","1","4.081416","3.614548","3.56326","3.370378","3.330549","3.363952","3.616805","3.529752","3.430529","3.464432","3.526419","4.024346"
"NG_Cal_PG&E BB","0","1","5.767008","5.419188","5.303013","5.222418","5.215914","5.212218","5.23562","5.240122","5.237762","5.25179","5.240658","5.684942"
"NG_Cal_SDG&E","0","1","6.179107","5.474122","5.394191","4.668745","4.630613","4.665082","5.269285","5.37806","5.26094","5.301147","5.285499","6.065465"
"NG_Colorado_Cheyenne","0","1","3.851477","3.615219","3.5339","3.291007","3.207988","3.224375","3.325068","3.327818","3.292823","3.346932","3.426923","3.767653"
"NG_BC_Sumas","0","1","4.049011","3.917117","3.770369","3.479859","3.342421","3.331551","3.443261","3.515145","3.487683","3.566464","3.642332","3.992855"
"NG_Montana","0","1","3.851477","3.615219","3.5339","3.291007","3.207988","3.224375","3.325068","3.327818","3.292823","3.346932","3.426923","3.767653"
"NG_Washington_King","0","1","3.820825","3.685551","3.535036","3.21481","3.056762","3.02938","3.137047","3.177385","3.140254","3.258163","3.400784","3.763229"
"NG_Oregon_Malin","0","1","3.539844","3.217613","3.111378","3.040985","3.035269","3.031409","3.049998","3.052106","3.049456","3.059156","3.056429","3.466613"
"NG_Idaho_Opal","0","1","3.815222","3.505413","3.40377","3.338077","3.332784","3.333898","3.344648","3.345639","3.343108","3.351108","3.351942","3.745914"
"NG_Wyoming","0","1","3.851477","3.615219","3.5339","3.291007","3.207988","3.224375","3.325068","3.327818","3.292823","3.346932","3.426923","3.767653"
"NG_Washington_Sumas","0","1","4.103724","3.97183","3.825082","3.534572","3.397134","3.386264","3.497974","3.569858","3.542396","3.621176","3.697045","4.047567"
"NG_Nevada_North","0","1","3.782469","3.464112","3.359309","3.290383","3.284798","3.28249","3.298634","3.300394","3.297781","3.30695","3.305334","3.710461"
"NG_Nevada_South","0","1","3.897163","3.587354","3.485711","3.420018","3.414725","3.415839","3.426589","3.42758","3.425049","3.433049","3.433883","3.827855"
"NG_Cal_Kern","0","1","4.885887","4.371723","4.308833","4.1309","4.108364","4.125979","4.323319","4.286302","4.177772","4.209333","4.201782","4.823686"
"NG_West Texas_Waha","0","1","3.719223","3.390821","3.347866","3.138871","3.085393","3.114339","3.369745","3.274503","3.183711","3.223644","3.299436","3.653609"
"NG_Utah_Opal Kern","0","1","3.799383","3.489573","3.38793","3.322237","3.316944","3.318058","3.328808","3.329799","3.327269","3.335268","3.336102","3.730074"
"NG_New Mexico_South","0","1","3.799957","3.471555","3.428599","3.219604","3.166127","3.195072","3.450478","3.355236","3.264444","3.304378","3.380169","3.734342"
"NG_Cal_SoCalGas","0","1","6.263404","5.558419","5.478488","4.753042","4.714911","4.74938","5.353583","5.462358","5.345237","5.385445","5.369796","6.149762"
"NG_Cal_PG&E LT","0","1","5.767008","5.419188","5.303013","5.222418","5.215914","5.212218","5.23562","5.240122","5.237762","5.25179","5.240658","5.684942"
"NG_Cal_Rosarito","0","1","4.206005","3.739137","3.687849","3.494967","3.455138","3.488541","3.741394","3.654341","3.555118","3.589021","3.651007","4.148935"
"NG_AZ_North-South","0","1","3.877623","3.55361","3.510876","3.310774","3.261071","3.290658","3.539683","3.447994","3.358326","3.396111","3.466754","3.816712"
"NG_Oregon_Sumas","0","1","4.103724","3.97183","3.825082","3.534572","3.397134","3.386264","3.497974","3.569858","3.542396","3.621176","3.697045","4.047567"
"NG_BC_Westcoast","0","1","3.813848","3.688532","3.547977","3.283771","3.186763","3.176274","3.277691","3.30311","3.275237","3.349576","3.427209","3.76176"
"NG_AZ_Opal Kern","0","1","3.897163","3.587354","3.485711","3.420018","3.414725","3.415839","3.426589","3.42758","3.425049","3.433049","3.433883","3.827855"
"NG_Colorado_WhiteR","0","1","3.589479","3.373191","3.295401","3.082289","3.005286","3.023437","3.117875","3.120213","3.088155","3.130595","3.195905","3.516068"
"NG_Oregon_OR and WA","0","1","3.81761","3.682336","3.531821","3.211594","3.053547","3.026164","3.133831","3.17417","3.137038","3.254947","3.397568","3.760013"
"NG_Oregon_Washington","0","1","3.892487","3.757213","3.606698","3.286472","3.128424","3.101042","3.208708","3.249047","3.211915","3.329825","3.472445","3.834891"
"NG_Washington_Oregon","0","1","3.976094","3.84082","3.690305","3.370078","3.212031","3.184648","3.292315","3.332654","3.295522","3.413431","3.556052","3.918497"
